Item Code,Item,Description,HS Code,HS07 Code,HS12 Code,CPC Code
2577,Palm Oil,"Default composition: 257 Oil, palm, 1276 Fatty acids, 1277 Fatty substance residues",,,,
2576,Palmkernel Oil,"Default composition: 258 Oil, palm kernel",,,,
2547,Peas,"Default composition: 187 Peas, dry",,,,
2640,Pepper,Default composition: 687 Pepper (piper spp.),,,,
2641,Pimento,"Default composition: 689 Chillies and peppers, dry",,,,
2618,Pineapples and products,"Default composition: 574 Pineapples, 575 Pineapples canned, 576 Juice, pineapple, 580 Juice, pineapple, concentrated",,,,
2616,Plantains,Default composition: 489 Plantains,,,,
2531,Potatoes and products,"Default composition: 116 Potatoes, 117 Flour, potatoes, 118 Potatoes, frozen, 119 Starch, potatoes, 121 Tapioca, potatoes",,,,
2911,Pulses,,,,,
2549,"Pulses, Other and products","Default composition: 181 Broad beans, horse beans, dry, 191 Chick peas, 195 Cow peas, dry, 197 Pigeon peas, 201 Lentils, 203 Bambara beans, 205 Vetches, 210 Lupins, 211 Pulses, nes, 212 Flour, pulses, 213 Bran, pulses",,,,
2574,Rape and Mustard Oil,"Default composition: 271 Oil, rapeseed, 293 Oil, mustard",,,,
2805,Rice (Milled Equivalent),"Default composition: 27 Rice, paddy, 28 Rice, husked, 29 Rice, milled/husked, 31 Rice, milled, 32 Rice, broken, 33 Gluten, rice, 34 Starch, rice, 35 Bran, rice, 38 Flour, rice",,,,
2804,Rice (Paddy Equivalent),"Default composition: 27 Rice, paddy, 33 Gluten, rice, 35 Bran, rice",,,,
2581,Ricebran Oil,"Default composition: 36 Oil, rice bran",,,,
2815,Roots & Tuber Dry Equiv,,,,,
2534,"Roots, Other","Default composition: 135 Yautia (cocoyam), 136 Taro (cocoyam), 149 Roots and tubers, nes, 150 Flour, roots and tubers nes, 151 Roots and tubers dried",,,,
2515,Rye and products,"Default composition: 71 Rye, 72 Flour, rye, 73 Bran, rye",,,,
2561,Sesame seed,Default composition: 289 Sesame seed,,,,
2579,Sesameseed Oil,"Default composition: 290 Oil, sesame",,,,
2518,Sorghum and products,"Default composition: 83 Sorghum, 84 Flour, sorghum, 85 Bran, sorghum",,,,
2571,Soyabean Oil,"Default composition: 237 Oil, soybean",,,,
2555,Soyabeans,"Default composition: 236 Soybeans, 239 Soya sauce, 240 Soya paste, 241 Soya curd",,,,
2923,Spices,,,,,
2645,"Spices, Other","Default composition: 692 Vanilla, 693 Cinnamon (canella), 702 Nutmeg, mace and cardamoms, 711 Anise, badian, fennel, coriander, 720 Ginger, 723 Spices, nes",,,,
2907,Starchy Roots,,,,,
2922,Stimulants,,,,,
2909,Sugar & Sweeteners,,,,,
2542,Sugar (Raw Equivalent),"Default composition: 158 Sugar, cane, raw, centrifugal, 159 Sugar, beet, raw, centrifugal, 162 Sugar Raw Centrifugal, 164 Sugar refined, 168 Sugar confectionery, 171 Sugar flavoured",,,,
2537,Sugar beet,Default composition: 157 Sugar beet,,,,
2536,Sugar cane,Default composition: 156 Sugar cane,,,,
2908,Sugar Crops,,,,,
2541,Sugar non-centrifugal,Default composition: 163 Sugar non-centrifugal,,,,
2827,"Sugar, Raw Equivalent","Default composition: 154 Fructose chemically pure, 155 Maltose chemically pure, 160 Maple sugar and syrups, 161 Sugar crops, nes, 162 Sugar Raw Centrifugal, 163 Sugar non-centrifugal, 166 Fructose and syrup, other, 167 Sugar, nes, 172 Glucose and dextrose, 173 Lactose",,,,
2818,"Sugar, Refined Equiv",Default composition: 162 Sugar Raw Centrifugal,,,,
2557,Sunflower seed,Default composition: 267 Sunflower seed,,,,
2573,Sunflowerseed Oil,"Default composition: 268 Oil, sunflower",,,,
