Country,x,y,z
Saudi Arabia,-55.1545203386,-90.1462148068,-90.991178149
Senegal,154.234790526,-145.805869021,14.4105270223
Sierra Leone,230.283549789,-139.207285584,-21.3800268882
Slovakia,-223.385681992,89.001248706,116.553404836
Slovenia,-133.594731872,71.0340243853,111.898629279
Solomon Islands,182.179261058,-128.689554689,10.5317438873
South Africa,-0.595209613665,-31.2740707647,102.556103853
Spain,-257.76233613,104.601228156,75.5465938541
Sri Lanka,163.980251408,-153.345009305,-44.4151718878
Suriname,48.7693493535,-131.912620666,24.1052040224
Swaziland,112.951771902,-73.6256546976,65.4585493576
Sweden,-110.449951951,52.5408772026,145.822698547
Switzerland,-167.410019073,74.9992572944,93.0603107257
Tajikistan,-136.029118828,-10.395444409,-185.429654652
Thailand,200.627646845,-250.369945136,38.3745113218
The former Yugoslav republic of Macedonia,-217.734732208,39.582796943,-79.7265300148
Timor-Leste,243.572964446,-72.0122410976,2.03570146845
Togo,289.5173701,156.493265643,-26.9363754439
Trinidad and Tobago,-56.5443630469,-80.8092500389,-5.50436106907
Tunisia,-289.768974792,-6.30133567815,-265.604079398
Turkey,-361.98903838,67.9902164638,-277.800756148
Turkmenistan,-188.982576431,10.9940436359,-269.371366015
Uganda,381.940116006,192.617776802,-24.5598150936
Ukraine,-275.662627892,97.8462980928,-10.8939274883
United Arab Emirates,-158.371963759,-61.2436860925,-77.9245080092
United Kingdom of Great Britain and Northern Ireland,-216.380230984,118.724270701,201.019531202
United Republic of Tanzania,437.003533895,401.714261627,-88.7699581584
United States of America,-190.906861606,38.9094838859,162.374886904
Uruguay,-103.989105364,-17.8113371484,3.2916218198
Uzbekistan,-190.88980595,6.24311471894,-226.415391961
Venezuela (Bolivarian Republic of),40.0511492777,-16.3247072489,120.129032911
Viet Nam,200.814845634,-251.091292191,10.9576851154
Yemen,-17.5088758546,-59.9793308335,-81.0112458149
Zambia,239.133490294,46.5155982297,38.009614831
Zimbabwe,162.231192678,-64.2582800877,54.7953982362
